SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;ISSUEDATE;EVENINGSESSION;IS_QUALIFIED_INVESTORS;HIGH_RISK;YIELDATWAP;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
AKCH;ETF AKCH;БПИФ Альфа Китайские Акции;Паи биржевых ПИФов;RU000A102FK8;4222;1;0,0;RUB;;0;0;TQTF;Т+: ETF - безадрес.;;;18.12.2020;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""";7728142469;1;113,55;113,55;;227,1;;227,1;;227,1;100,0;;;;;;
AKEU;AKEU ETF;БПИФ АЛЬФА_КАП ЕВРОПА 600;Паи биржевых ПИФов;RU000A100Q43;3805;3;0,0;EUR;;0;1;TQTE;Т+: ETF (расч. в EUR) - безадрес.;;;26.08.2019;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""";7728142469;1;999,68;999,68;729,77;1269,59;599,81;1399,55;;1999,36;27,0;20000;40,0;100000;100,0;;
AKMB;ETF AKMB;БПИФ Альфа Управляем облигации;Паи биржевых ПИФов;RU000A101PN3;4039;1;0,0;RUB;;0;0;TQTF;Т+: ETF - безадрес.;;;02.06.2020;1;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""";7728142469;1;1,06;1,06;;2,12;;2,12;;2,12;100,0;;;;;;
AKME;ETF AKME;БПИФ Альфа Управляем Рос Акции;Паи биржевых ПИФов;RU000A102E78;4213;1;0,0;RUB;;0;0;TQTF;Т+: ETF - безадрес.;;;18.12.2020;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""";7728142469;1;106,57;106,57;;213,14;;213,14;;213,14;100,0;;;;;;
AKNX;AKNX ETF;БПИФ АЛЬФА_КАП ТЕХНОЛОГИИ 100;Паи биржевых ПИФов;RU000A0ZZTQ4;3591;3;0,0;USD;;0;1;TQTD;Т+: ETF (USD) - безадрес.;;;10.12.2018;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""";7728142469;1;1409,23;1409,23;1014,65;1803,81;859,63;1958,83;;2818,46;28,0;20000;39,0;100000;100,0;100,00;100,00
AKRN;Акрон;Акрон ПАО ао;Акции обыкновенные;RU0009028674;1-03-00207-A;2;5,0;RUB;40534000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;11.10.2006;0;0;0;;2020-06-09;;;закрытие реестра;"Публичное акционерное общество ""Акрон""";5321029508;1;6018,59;6018,59;3009,3;9027,89;1745,39;10291,79;300,93;11736,25;50,0;3010;71,0;15050;95,0;3,53;2,52
AKSP;AKSP ETF;БПИФ АЛЬФА_КАП Эс энд Пи 500;Паи биржевых ПИФов;RU000A1006V3;3691;1;0,0;USD;;0;1;TQTD;Т+: ETF (USD) - безадрес.;;;04.04.2019;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""";7728142469;1;983,23;983,23;717,76;1248,7;599,77;1366,69;;1966,46;27,0;20000;39,0;100000;100,0;100,00;100,00
ALBK;БестЭфБ ао;Бест Эффортс Банк ПАО ао;Акции обыкновенные;RU000A0JS2M9;10400435B;3;10,0;RUB;56490000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;15.05.2012;0;0;0;;2019-09-05;;;закрытие реестра;"Публичное акционерное общество ""Бест Эффортс Банк""";7831000034;10;61,486;61,486;;122,972;;122,972;;122,972;100,0;;;;;33,17;54,87
ALNU;АЛРОСА-Нюр;АЛРОСА-Нюрба ПАО ао;Акции обыкновенные;RU000A0JP468;1-01-20179-F;3;25,0;RUB;800000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;08.12.2011;0;0;0;;2019-07-09;;;закрытие реестра;"Публичное акционерное общество ""АЛРОСА-Нюрба""";1419003844;1;61185,65;61185,65;;122371,3;;122371,3;;122371,3;100,0;;;;;8,43;16,96
ALRS;АЛРОСА ао;АЛРОСА ПАО ао;Акции обыкновенные;RU0007252813;1-03-40046-N;1;0,5;RUB;7364965630;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;29.11.2011;1;0;0;;2020-07-13;2.63;0.0412;закрытие реестра;"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";1433000147;10;98,228;98,228;81,529;114,927;75,636;120,82;64,83;131,626;17,0;3796908;23,0;18984540;34,0;5,06;4,21
AMD-RM;AMD Inc.;Advanced Micro Devices, Inc.;Иностранные акции;US0079031078;;3;0,01;USD;1211280009;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;21.05.2018;1;0;0;;;;;;Advanced Micro Devices, Inc. (Эдвансд Микро Девайсес, Инк.);0000004912;1;6125,37;6125,37;4655,28;7595,46;3797,73;8453,01;2817,67;9433,07;24,0;8220;38,0;41100;54,0;;
AMEZ;АшинскийМЗ; Ашинский метзавод ПАО ао;Акции обыкновенные;RU000A0B88G6;1-03-45219-D;2;1,0;RUB;498454822;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;28.08.2008;0;0;0;;;;;;"Публичное акционерное общество ""Ашинский металлургический завод""";7401000473;100;7,4632;7,4632;;14,9264;;14,9264;;14,9264;100,0;;;;;4,76;9,01
AMUNIBB2AER2;UBANK11/22;UNIBANK OJSC Series 1;Корпоративные еврооблигации;AMUNIBB2AER2;;3;100,0;USD;10000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;15.11.2022;;15.11.2019;0;0;0;;;;;;"""UNIBANK"" OPENED JOINT STOCK COMPANY";0000004902;1;102,9774;7597,4357;;15194,8714;;15194,8714;;15194,8714;100,0;;;;;;
AMZN-RM;Amazon;Amazon.com Inc.;Иностранные акции;US0231351067;;3;0,01;USD;503564743;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;21.05.2018;1;0;0;;;;;;Amazon.com, Inc.;;1;232129,34;232129,34;194988,65;269270,03;174097,01;290161,68;148562,78;315695,9;16,0;220;25,0;1100;36,0;;
APTK;Аптеки36и6;"ПАО ""Аптечная сеть 36,6"" ао";Акции обыкновенные;RU0008081765;1-01-07335-A;2;0,64;RUB;7630433826;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;21.12.2005;0;0;0;;;;;;"Публичное акционерное общество ""Аптечная сеть 36,6""";7722266450;10;13,447;13,447;4,034;22,86;2,689;24,205;0,672;26,222;70,0;735600;80,0;3678000;95,0;6,64;11,34
AQUA;РусАква ао;Русская Аквакультура ПАО ао;Акции обыкновенные;RU000A0JQTS3;1-01-04461-D;2;100,0;RUB;87876649;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;16.04.2010;0;0;0;;2020-09-11;;;закрытие реестра;"Публичное  акционерное общество ""Русская Аквакультура""";7816430057;10;248,942;248,942;;497,884;;497,884;;497,884;100,0;;;;;12,33;20,53
ARSA;Арсагера;УК Арсагера ПАО-ао;Акции обыкновенные;RU000A0JP0Q7;1-01-03163-D;3;1,0;RUB;123817165;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;07.04.2008;0;0;0;;2019-07-01;;;закрытие реестра;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""АРСАГЕРА""";7840303927;1000;3,90908;3,90908;;7,81816;;7,81816;;7,81816;100,0;;;;;16,68;39,15
ASSB;АстрЭнСб;"""Астраханская ЭСК"" ПАО";Акции обыкновенные;RU000A0D8MM8;1-01-55064-E;3;0,007;RUB;773900078;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;16.09.2005;0;0;0;;2020-07-13;;;закрытие реестра;"Публичное акционерное общество ""Астраханская энергосбытовая компания""";3017041554;1000;0,8328;0,8328;;1,6656;;1,6656;;1,6656;100,0;;;;;25,02;56,22
ATVI-RM;Activision;Activision Blizzard, Inc.;Иностранные акции;US00507V1098;;3;0,0;USD;774753965;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;21.05.2018;1;0;0;;2021-04-15;;;закрытие реестра;Activision Blizzard, Inc. (Эктивижн Близзард, Инк.);0000004913;1;7010,96;7010,96;5959,32;8062,6;5328,33;8693,59;4627,23;9394,69;15,0;8310;24,0;41550;34,0;;
AVAN;Авангрд-ао;"АКБ ""АВАНГАРД"" ПАО ао";Акции обыкновенные;RU000A0DM7B3;10102879B;3;10,0;RUB;80700000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;09.07.2012;0;0;0;;2020-12-22;;;закрытие реестра;"Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество";7702021163;1;1059,75;1059,75;;2119,5;;2119,5;;2119,5;100,0;;;;;22,77;66,51
AVGO-RM;Broadcom;Broadcom Inc.;Иностранные акции;US11135F1012;;3;0,001;USD;406713118;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;02.11.2020;1;0;0;;2020-12-21;;;закрытие реестра;Broadcom Inc.;0000004970;1;34319,64;34319,64;28828,5;39810,78;25739,73;42899,55;21964,57;46674,71;16,0;1752;25,0;8758;36,0;;
BA-RM;Boeing;The Boeing Company;Иностранные акции;US0970231058;;3;5,0;USD;582996860;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;17.09.2018;1;0;0;;;;;;The Boeing Company;;1;16158,84;16158,84;11149,6;21168,08;8241,01;24076,67;5009,24;27308,44;31,0;3870;49,0;19350;69,0;;
BABA-RM;BABA-адр;АДР Alibaba Group Holding LTD;DR на иностранные акции;US01609W1027;;3;0,0;USD;;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;02.11.2020;1;0;0;;;;;;Citibank N.A. (АДР Alibaba);;1;18420,36;18420,36;15657,31;21183,41;13999,47;22841,25;12157,44;24683,28;15,0;8540;24,0;42708;34,0;;
BANE;Башнефт ао;Башнефть АНК ао;Акции обыкновенные;RU0007976957;1-01-00013-A;3;1,0;RUB;147846489;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;18.11.2011;0;0;0;;2020-07-06;;;закрытие реестра;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";0274051582;1;1625,0;1625,0;1056,25;2193,75;828,75;2421,25;357,5;2892,5;35,0;6000;49,0;30000;78,0;6,39;3,34
BANEP;Башнефт ап;Башнефть АНК ап;Акции привилегированные;RU0007976965;2-01-00013-A;3;1,0;RUB;29788012;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;18.11.2011;0;0;0;;2020-07-06;;;закрытие реестра;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";0274051582;1;1163,34;1163,34;756,17;1570,51;593,3;1733,38;255,93;2070,75;35,0;23200;49,0;116000;78,0;7,57;5,13
BELU;Белуга ао;Белуга Групп ПАО ао;Акции обыкновенные;RU000A0HL5M1;1-01-55052-E;2;100,0;RUB;15800000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;20.11.2007;0;0;0;;2020-10-26;;;закрытие реестра;"Публичное акционерное общество ""Белуга Групп""";7705634425;1;2414,43;2414,43;;4828,86;;4828,86;;4828,86;100,0;;;;;8,50;10,88
BIDU-RM;BIDU-адр;АДР Baidu, Inc. ORD SHS;DR на иностранные акции;US0567521085;;3;0,0;USD;;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;02.11.2020;1;0;0;;;;;;The Bank of New York Mellon (АДР Baidu, Inc. ORD SHS);;1;22610,13;22610,13;18766,41;26453,85;16505,39;28714,87;14018,28;31201,98;17,0;4923;27,0;24613;38,0;;
BIIB-RM;Biogen;Biogen Inc.;Иностранные акции;US09062X1037;;3;0,0005;USD;152335731;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;02.11.2020;1;0;0;;;;;;Biogen Inc.;0000004969;1;20847,8;20847,8;17303,67;24391,93;15218,89;26476,71;12925,64;28769,96;17,0;2451;27,0;12257;38,0;;
BISV;БашИнСв ао;Башинформсвязь(ПАО) ао;Акции обыкновенные;RU0009059216;1-01-00011-A;3;1,0;RUB;949023840;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;23.04.2010;0;0;0;;2020-10-09;;;закрытие реестра;"Публичное акционерное общество ""Башинформсвязь""";0274018377;100;13,9899;13,9899;;27,9798;;27,9798;;27,9798;100,0;;;;;23,51;50,61
BISVP;БашИнСв ап;Башинформсвязь(ПАО) ап;Акции привилегированные;RU0009100176;2-01-00011-A;3;1,0;RUB;36165270;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;23.04.2010;0;0;0;;2020-10-09;;;закрытие реестра;"Публичное акционерное общество ""Башинформсвязь""";0274018377;100;9,9777;9,9777;;19,9554;;19,9554;;19,9554;100,0;;;;;23,51;50,61
BLNG;Белон ао;Белон ОАО ао;Акции обыкновенные;RU000A0J2QG8;1-06-10167-F;3;0,01;RUB;1150000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;16.01.2009;0;0;0;;;;;;"Открытое акционерное общество ""Белон""";5410102823;100;6,0786;6,0786;;12,1572;;12,1572;;12,1572;100,0;;;;;9,73;15,54
BMY-RM;BMS Co;Bristol-Myers Squibb Company;Иностранные акции;US1101221083;;3;0,1;USD;2240475153;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;02.11.2020;1;0;0;;2021-01-04;;;закрытие реестра;Bristol-Myers Squibb Company;0000004979;1;4538,54;4538,54;3903,14;5173,94;3540,06;5537,02;3131,59;5945,49;14,0;10764;22,0;53820;31,0;;
BRZL;БурЗолото;Бурятзолото ПАО ао;Акции обыкновенные;RU0009288658;1-06-20577-F;3;0,025;RUB;7027270;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;09.12.2011;0;0;0;;;;;;"Публичное акционерное общество ""Бурятзолото""";0323027345;1;1035,76;1035,76;;2071,52;;2071,52;;2071,52;100,0;;;;;4,77;5,49
BSPB;БСП ао;"ПАО ""Банк ""Санкт-Петербург"" ао";Акции обыкновенные;RU0009100945;10300436B;1;1,0;RUB;487554167;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;19.03.2008;0;0;0;;2020-12-11;;;закрытие реестра;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";7831000027;10;55,567;55,567;36,119;75,015;28,339;82,795;12,225;98,909;35,0;233600;49,0;1168000;78,0;4,20;4,59
BSPBP;БСП ап;Банк Санкт-Петербург ап;Акции привилегированные;RU000A0JP0U9;20100436B;3;1,0;RUB;20100000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;26.01.2021;0;0;0;;2020-12-11;;;закрытие реестра;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";7831000027;1000;4,55691;4,55691;;9,11382;;9,11382;;9,11382;100,0;;;;;31,60;65,84
CAT-RM;CAT;Caterpillar Inc.;Иностранные акции;US1491231015;;3;1,0;USD;545303847;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;01.12.2020;1;0;0;;2021-01-20;;;закрытие реестра;Caterpillar Inc;0000005005;1;16472,22;16472,22;14166,11;18778,33;12848,33;20096,11;11365,83;21578,61;14,0;3828;22,0;19140;31,0;;
CBOM;МКБ ао;"""МКБ"" ПАО ао";Акции обыкновенные;RU000A0JUG31;10101978B;1;1,0;RUB;29829709866;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;22.06.2015;1;0;0;;2019-06-07;0.11;0.0184;закрытие реестра;"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)";7734202860;100;6,726;6,726;4,3046;9,1474;3,2957;10,1563;1,3452;12,1068;36,0;13149600;51,0;65748000;80,0;3,31;4,19
CHEP;ЧТПЗ ао;"""ЧТПЗ"" ПАО ао";Акции обыкновенные;RU0009066807;1-01-00182-A;3;1,0;RUB;305696336;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;12.12.2008;0;0;0;;2021-01-10;;;закрытие реестра;"Публичное акционерное общество ""Челябинский трубопрокатный завод""";7449006730;10;248,442;248,442;;496,884;;496,884;;496,884;100,0;;;;;10,48;12,63
CHGZ;РН-ЗапСиб;РН-Западная Сибирь ПАО ао;Акции обыкновенные;RU0009082291;1-01-00185-A;3;0,1;RUB;26771420;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;14.12.2011;0;0;0;;;;;;"Публичное акционерное общество ""РН-Западная Сибирь""";8620003528;100;47,5888;47,5888;;95,1776;;95,1776;;95,1776;100,0;;;;;19,11;33,89
CHKZ;ЧКПЗ ао;"""ЧКПЗ"" ПАО ао";Акции обыкновенные;RU000A0JNST0;1-03-45058-D;3;200,0;RUB;600216;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;12.12.2008;0;0;0;;2020-12-14;;;закрытие реестра;"Публичное акционерное общество ""Челябинский кузнечно-прессовый завод""";7449006184;1;6098,57;6098,57;;12197,14;;12197,14;;12197,14;100,0;;;;;22,73;56,20
CHMF;СевСт-ао;Северсталь (ПАО)ао;Акции обыкновенные;RU0009046510;1-02-00143-A;1;0,01;RUB;837718660;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;02.06.2005;1;0;0;;2021-06-01;36.27;0.028;закрытие реестра (рекомендуемая);"Публичное акционерное общество ""Северсталь""";3528000597;1;1294,53;1294,53;1074,46;1514,6;996,79;1592,27;828,5;1760,56;17,0;243000;23,0;1215000;36,0;4,77;5,15
CHMK;ЧМК ао;"""ЧМК"" ПАО ао";Акции обыкновенные;RU0007665170;1-01-00080-A;3;1,0;RUB;3161965;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;12.12.2008;0;0;0;;;;;;"Публичное акционерное общество ""Челябинский металлургический комбинат""";7450001007;1;3099,27;3099,27;;6198,54;;6198,54;;6198,54;100,0;;;;;7,68;12,11
CNTL;Телеграф;"""Центральный Телеграф"" ПАО ао";Акции обыкновенные;RU0007665147;1-03-00327-A;3;1,0;RUB;166167000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;12.12.2008;0;0;0;;2020-08-10;;;закрытие реестра;"Публичное акционерное общество ""Центральный телеграф""";7710146208;100;17,2759;17,2759;;34,5518;;34,5518;;34,5518;100,0;;;;;7,98;32,07
CNTLP;Телеграф-п;"""Центральный Телеграф"" ПАО ап";Акции привилегированные;RU0007665139;2-03-00327-A;3;1,0;RUB;55389000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;25.10.2011;0;0;0;;2020-08-10;;;закрытие реестра;"Публичное акционерное общество ""Центральный телеграф""";7710146208;100;15,9363;15,9363;;31,8726;;31,8726;;31,8726;100,0;;;;;8,70;30,97
CRM-RM;salesforce;salesforce.com, inc.;Иностранные акции;US79466L3024;;3;0,001;USD;915445000;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;01.12.2020;1;0;0;;;;;;salesforce.com, inc.;0000005015;1;17300,29;17300,29;14532,24;20068,34;12802,21;21798,37;10899,18;23701,4;16,0;2552;26,0;12760;37,0;;
CSCO-RM;Cisco;Cisco Systems, Inc.;Иностранные акции;US17275R1023;;3;0,001;USD;4221785547;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;02.11.2020;1;0;0;;2021-04-06;;;закрытие реестра;Cisco Systems, Inc.;0000004971;1;3346,95;3346,95;2844,91;3848,99;2543,68;4150,22;2208,99;4484,91;15,0;16848;24,0;84238;34,0;;
CVX-RM;Chevron;Chevron Corporation;Иностранные акции;US1667641005;;3;0,75;USD;1867323448;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;01.12.2020;1;0;0;;2021-02-17;;;закрытие реестра;Chevron Corporation;0000005006;1;7497,63;7497,63;6447,96;8547,3;5923,13;9072,13;5248,34;9746,92;14,0;7601;21,0;38005;30,0;;
DERZP;Держава ап;Держава ап;Акции привилегированные;RU000A1021R0;2-03-02738-B;3;4915,0;RUB;2000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;09.10.2020;0;0;0;;;;;;"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""";7729003482;1;26387,59;26387,59;;52775,18;;52775,18;;52775,18;100,0;;;;;;
DIOD;ЗаводДИОД;Завод ДИОД ПАО ао;Акции обыкновенные;RU000A0JQWC1;1-03-06923-A;3;0,01;RUB;91500000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;09.06.2010;0;0;0;;2020-09-01;;;закрытие реестра;"Публичное акционерное общество Завод экологической техники и экопитания ""ДИОД""";7725024805;100;7,1883;7,1883;;14,3766;;14,3766;;14,3766;100,0;;;;;14,14;18,30
DIS-RM;Disney;The Walt Disney Company;Иностранные акции;US2546871060;;3;0,01;USD;1815263899;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;21.05.2018;1;0;0;;;;;;The Walt Disney Company (Зе Уолт Дисней Кампани);0000004914;1;14721,69;14721,69;12660,65;16782,73;11482,92;17960,46;10157,97;19285,41;14,0;5150;22,0;25750;31,0;;
DIVD;ETF DIVD;БПИФ ДОХОДЪ Инд дивид акций РФ;Паи биржевых ПИФов;RU000A102N02;4242;1;0,0;RUB;;0;0;TQTF;Т+: ETF - безадрес.;;;19.01.2021;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""ДОХОДЪ""";7826685368;1;976,17;976,17;;1952,34;;1952,34;;1952,34;100,0;;;;;;
DSKY;ДетскийМир;ПАО Детский мир;Акции обыкновенные;RU000A0JSQ90;1-02-00844-A;1;0,0004;RUB;739000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;10.02.2017;1;0;0;;2020-12-28;5.08;0.0365;;"Публичное акционерное общество ""Детский мир""";7729355029;10;138,6;138,6;69,3;207,9;40,194;237,006;6,93;270,27;50,0;1048300;71,0;5241500;95,0;6,65;3,20
DVEC;ДЭК ао;"""ДЭК"" ПАО ао";Акции обыкновенные;RU000A0JP2W1;1-01-55275-E;3;1,0;RUB;17223107804;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;13.12.2007;0;0;0;;;;;;"Публичное акционерное общество ""Дальневосточная энергетическая компания""";2723088770;1000;0,8378;0,8378;;1,6756;;1,6756;;1,6756;100,0;;;;;12,34;16,81
